Context Size,Tokens Per Second
2,7.81
4,8.91
8,7.01
16,7.85
32,9.68
64,8.74
128,9.77
256,10.01
512,8.81
1024,8.67
2048,9.8
4096,8.74
8192,9.28
16384,7.13
